i,GM_RAS,units
1035,0,0
1036,-35888.4139532899,0
1037,-43963.7613441052,0
1038,-13925.0802149579,0
1039,-52372.0892731463,0
1040,-63068.8793414094,0
1041,-67537.6917482725,0
1042,-61083.7802910061,0
1043,-81601.4685538928,0
1044,-76326.5207917774,0
1045,-24356.5779600598,0
1046,-32475.4372800798,0
1047,-50121.0094130817,0
1048,-35319.3488379842,0
1049,-38163.2603958887,0
1050,-8118.85932001994,0
1051,-40162.9008892372,0
1052,-45370.0882866562,0
1053,-64341.5712051476,0
1054,-55157.8765550467,0
1055,-77083.4183108955,0
1056,-69334.7777231935,0
1057,-85634.7772845885,0
1058,-19690.3271529135,0
1059,-58716.0290106938,0
1060,-72892.9301788406,0
1061,-89192.9297402357,0
1062,-145785.860357681,0
1063,-189348.630358396,0
1064,-195318.194718274,0
1065,-162485.117897158,0
1066,-140314.887737548,0
1067,-272773.936125086,0
1068,-381594.449830658,0
1069,-231274.487164081,0
1070,-196830.153709833,0
1071,-174254.564529667,0
1072,-119310.700655181,0
1073,-115478.629793277,0
1074,-8653.44953499985,0
1075,-7240.12997083944,0
1076,-50396.0474240475,0
1077,-120302.166146185,0
1078,-33339.3679667953,0
1079,-50367.5291825972,0
1080,-60418.7446410718,0
1081,-43851.0835116976,0
1082,-23611.4104998224,0
1083,-23610.2544892983,0
1084,-10856.7304434718,0
1085,32992.1088246303,113
1086,5135.85992839723,72
1087,37961.349742068,88
1088,-10580.5882350773,0
1089,-37134.1616362709,0
1090,-8172.33818225085,0
1091,0,0
1092,-48889.8686379683,0
1093,-100908.70298298,0
1094,-60446.2700171648,0
1095,-35031.3909230465,0
1096,-56956.9326788953,0
1097,-15271.5158075698,0
1100,-51525.8906361266,0
1101,-24641.0627772332,0
1102,-35603.8336551576,0
1103,-15821.370188582,0
1104,673.129524498072,15
1105,-84414.2032698998,0
1106,-32315.8699016621,0
1107,41336.9360750872,87
1108,-19210.0207344645,0
1109,-43951.7703040846,0
1110,-23967.9332527351,0
1111,-2715.52102138437,0
1112,-13678.2918993088,0
1113,-8409.45776348773,0
1115,13778.9786916958,29
1116,82636.7937267863,32
1117,-25874.2273809887,0
1118,-48392.867098787,0
1119,-45509.3809866254,0
1120,-50947.0451364156,0
1121,-50294.7651613234,0
1122,-18956.8061307913,0
1123,-70006.1871111431,0
1124,-37886.8857216602,0
1125,-56948.0586696339,0
1126,-33249.0342509171,0
1127,-39213.2320409546,0
1128,-34944.5999564616,0
1129,-89990.980712076,0
1130,-58845.3385104797,0
1131,-27290.4574917324,0
1132,-42568.0056532457,0
1133,-53322.844305806,0
1134,-91733.6511442529,0
1135,-43094.6936997148,0
1136,-76144.8965167134,0
1137,-100689.406230933,0
1138,-12542.2451279803,0
1139,-35536.0655687339,0
1140,-36026.6606671768,0
1141,-63532.6030016091,0
1142,-35319.3488379842,0
1143,-65363.749913853,0
