i,stocking_dairy_temp,stocking_dairy_perm,stocking_dairy_rough,stocking_beef_temp,stocking_beef_perm,stocking_beef_rough,stocking_sheep_temp,stocking_sheep_perm,stocking_sheep_rough,herd_dairy,herd_beef,herd_sheep,ig_herd_dairy,ig_herd_beef,ig_herd_sheep,dairy,beef,sheep
122,3,0.231977109084918,0,0,0.898674935325826,0,0,4.12419326098533,45,103.270958900452,102.043444633484,703.777886867523,0,0,0,103.270958900452,102.043444633484,703.777886867523
123,3,0.383438238628103,0,0,1.05350813410538,0,0,3.48360435351579,45,3.92621567845344,3.93818286061287,21.8791548907757,0,0,0,3.92621567845344,3.93818286061287,21.8791548907757
124,3,0.233460232130341,0,0,0.908345018381526,0,0,3.13430866299377,45,64.5190634727478,64.9937243461609,368.27867937088,0,0,0,64.5190634727478,64.9937243461609,368.27867937088
125,1.64700257117646,0,0,0,0.808862653448787,0,0,0,33.3042681090408,531.972129821777,1154.76893615723,5220.64120101929,0,0,0,531.972129821777,1154.76893615723,5220.64120101929
126,2.06249100174838,0,0,0,0.786995262774054,0,0,0,31.6742852241036,625.232513427734,1072.2624206543,4984.48773193359,0,0,0,625.232513427734,1072.2624206543,4984.48773193359
127,2.12221825344899,0,0,0,0.844126857070128,0,0,0,40.0086815528896,547.898166656494,936.734642028809,3894.26879119873,0,0,0,547.898166656494,936.734642028809,3894.26879119873
128,1.58102781231462,0,0,0,0.833931765246783,0,0,0,32.6270875638755,436.534236907959,1007.43171691895,4429.17791748047,0,0,0,436.534236907959,1007.43171691895,4429.17791748047
129,1.71622387830466,0,0,0,0.855383167623165,0,0,3.50966712639986,45,215.517793655396,470.886867523193,4792.95838546753,0,0,0,215.517793655396,470.886867523193,4792.95838546753
130,2.39468006675428,0,0,0,1.01815564047604,0,0,8.28931946454905,45,225.137142181396,515.703071594238,5846.14231872559,0,-0,0,225.137142181396,515.703071594238,5846.14231872559
131,3,0.191663286554131,0,0,0.994921747475361,0,0,9.68839522053385,45,445.5910987854,584.99959564209,6623.83452987671,0,-0,0,445.5910987854,584.99959564209,6623.83452987671
132,3,0.307084286361554,0,0,0.964946221146447,0,0,3.77600578639456,45,1274.12994384766,1380.98881530762,6802.63522338867,0,0,0,1274.12994384766,1380.98881530762,6802.63522338867
133,3,0.267973970776164,0,0,0.930427206282664,0,0,3.29848724291192,45,1427.13105010986,1521.46734619141,7341.82786560059,0,0,0,1427.13105010986,1521.46734619141,7341.82786560059
134,3,0.197416553801491,0,0,0.873710854375071,0,0,3.06477444974282,45,954.922218322754,962.845252990723,5508.57558822632,0,0,0,954.922218322754,962.845252990723,5508.57558822632
135,3,0.198285303618985,0,0,0.875121361904443,0,0,2.87152952610596,45,986.552665710449,996.089797973633,5466.96484375,0,0,0,986.552665710449,996.089797973633,5466.96484375
136,3,0.212146959515955,0,0,0.88809121047538,0,0,2.91707732783518,45,996.26065826416,1004.80387115479,5521.58121109009,0,0,0,996.26065826416,1004.80387115479,5521.58121109009
137,3,0.509186327126689,0,0,0.759793943957649,0,0,2.74390792488134,45,984.342651367188,635.09387588501,3693.17192840576,0,0,0,984.342651367188,635.09387588501,3693.17192840576
138,3,0.914955964484389,0,0,0.547160214151712,0,0,1.78064472639793,45,1096.77025604248,379.080270767212,2058.98689079285,0,0,0,1096.77025604248,379.080270767212,2058.98689079285
139,3,0.917261340415233,0,0,0.547825618064887,0,0,1.89827904600741,45,499.743942260742,172.684321403503,974.438239097595,0,0,0,499.743942260742,172.684321403503,974.438239097595
140,3,0.183608847543938,0,0,0.858153724988604,0,0,2.82807981649686,45,1346.24908447266,1353.64102172852,7443.08145904541,0,0,0,1346.24908447266,1353.64102172852,7443.08145904541
141,1.82249837678628,0,0,0,0.823421031533197,0,0,0,33.1006046041672,351.679922103882,706.155704498291,3266.42525100708,0,0,0,351.679922103882,706.155704498291,3266.42525100708
142,2.32530291674819,0,0,0,0.786856918661237,0,0,0,29.1455511914974,497.047584533691,761.48539352417,3391.44773292542,0,0,0,497.047584533691,761.48539352417,3391.44773292542
143,2.78703975472995,0,0,0,0.879746566725625,0,0,1.4837352939733,45,683.592094421387,886.232872009277,3675.65744781494,0,0,0,683.592094421387,886.232872009277,3675.65744781494
144,1.77850221221637,0,0,0,0.854214489781225,0,0,0,33.8288754165348,577.714874267578,1202.42059326172,4808.48588562012,0,0,0,577.714874267578,1202.42059326172,4808.48588562012
145,1.6844567494027,0,0,0,0.869999908204057,0,0,4.68383786069154,45,218.752216339111,498.924556732178,5647.6742477417,0,0,0,218.752216339111,498.924556732178,5647.6742477417
146,2.58952447441637,0,0,0,1.05872354177287,0,0,5.79883841103663,45,246.11540222168,570.027442932129,4691.27167892456,0,-0,0,246.11540222168,570.027442932129,4691.27167892456
147,2.65014299632327,0,0,0,1.03335963583781,0,0,0.718289672452713,45,797.666595458984,1753.5979309082,5887.10836410522,0,-0,0,797.666595458984,1753.5979309082,5887.10836410522
148,3,0.224505776925095,0,0,0.948004725204302,0,0,3.12499458173495,45,1303.89241790771,1515.74961853027,7193.81230926514,0,0,0,1303.89241790771,1515.74961853027,7193.81230926514
